id,user_name,type_action,type_search,mode_vector,len_vector,mean_time,std_time,mean_compare,std_compare
32,aline,remove,AATree,Arranjos Ordenados (DESC),10,1.4601800000058062e-05,3.7520991765875255e-05,20.0,9.843215373488933
33,aline,insert,AATree,Arranjos Quase Ordenados,10,3.571099999999383e-06,4.1391970088171465e-06,28.7,15.158789163019877
34,aline,search,AATree,Arranjos Quase Ordenados,1000,1.1361639999609707e-06,2.8727179498372294e-07,27.113,5.496402590917212
35,aline,insert,AATree,Arranjos Desordenados,100000,4.150326076999981e-05,0.002362431106372973,381.22361,70.09756076532302
36,aline,insert,AATree,Arranjos Ordenados (ASC),100000,4.8979669770000115e-05,0.003172442995032258,624.88702,129.86518519288705
37,aline,remove,AATree,Arranjos Ordenados (DESC),1000,1.2236760000163827e-06,8.879745299560081e-07,59.22,21.354334632753314
38,aline,remove,AATree,Arranjos Desordenados,1000,1.374301999986116e-06,9.743849079239498e-07,51.936,16.515043162240012
39,aline,remove,AATree,Arranjos Desordenados,10,2.583800000088843e-06,3.2944339863406034e-06,20.7,11.055918475338597
40,aline,remove,AATree,Arranjos Quase Ordenados,1000,2.0561619999668324e-06,3.9649542541604915e-07,54.04,18.866328162584747
41,aline,insert,AATree,Arranjos Quase Ordenados,100000,2.7322273550001065e-05,0.002122869708171577,624.88457,129.86777707464745
42,aline,remove,AATree,Arranjos Quase Ordenados,10000,1.1879225100005363e-05,0.0006983655357289874,67.2364,19.61332667597034
43,aline,search,AATree,Arranjos Ordenados (ASC),10,1.9557000000114398e-06,2.421801443898137e-06,8.0,3.4641016151377544
44,aline,search,AATree,Arranjos Quase Ordenados,10,6.83169999984301e-06,1.1882462923192508e-05,7.7,2.9832867780352594
45,aline,insert,AATree,Arranjos Desordenados,10000,1.732711869999898e-05,0.0007669030721999089,256.0446,54.861363342144315
46,aline,insert,AATree,Arranjos Ordenados (DESC),100000,3.8141380959999494e-05,0.002384857677412835,327.42778,50.48475721818135
47,aline,remove,AATree,Arranjos Ordenados (ASC),10,5.421700000241003e-06,1.2326815836888748e-05,20.0,11.234866364235145
48,aline,remove,AATree,Arranjos Quase Ordenados,100,1.6104999999200232e-06,6.257691429700496e-07,40.16,16.092359690363637
49,aline,remove,AATree,Arranjos Quase Ordenados,10,6.971499999863795e-06,1.005905161508009e-05,20.4,9.559172442098625
50,aline,search,AATree,Arranjos Desordenados,10000,2.839902630000477e-05,0.0018864715795622285,37.5419,5.793772619814917
51,aline,remove,AATree,Arranjos Desordenados,10000,1.6355869399994205e-05,0.001153890290650127,66.1875,17.644105961978344
52,aline,search,AATree,Arranjos Ordenados (ASC),100000,1.446974702000114e-05,0.0019501872675159028,46.14533,4.574966501985008
53,aline,search,AATree,Arranjos Desordenados,100000,1.6584733699999548e-05,0.0020221370706132234,47.34266,5.652090196169542
54,aline,search,AATree,Arranjos Quase Ordenados,100000,1.7225001920002862e-05,0.001937824006976913,46.14518,4.574594193665747
55,aline,search,AATree,Arranjos Ordenados (DESC),100000,1.4184873370003146e-05,0.0014650804233970127,46.06838,4.461240096904898
56,aline,remove,AATree,Arranjos Ordenados (ASC),100000,1.1273743500009096e-05,0.0010284971925848335,77.10604,21.16514387268727
57,aline,remove,AATree,Arranjos Quase Ordenados,100000,1.0213617940000503e-05,0.0009706158313291978,81.4385,20.06431418008189
58,aline,remove,AATree,Arranjos Desordenados,100000,1.3699091530001972e-05,0.0008502538696035657,79.85547,18.162022455379155
59,aline,remove,AATree,Arranjos Ordenados (DESC),100000,1.8027433159994468e-05,0.0013801811046966037,100.93552,24.057139268605855
60,aline,insert,AATree,Arranjos Ordenados (DESC),1000000,3.107198581800149e-05,0.002626432009622687,456.778721,57.72076581518098
61,aline,insert,AATree,Arranjos Ordenados (ASC),1000000,3.567262627000116e-05,0.0026054894087980335,898.895152,166.1492827203327
62,aline,insert,AATree,Arranjos Quase Ordenados,1000000,3.4834780343999297e-05,0.0027182897963049547,898.894816,166.14976987667535
63,aline,search,AATree,Arranjos Ordenados (DESC),1000000,6.011927338006614e-06,0.0007116849496121134,55.854335,4.290964357827984
64,aline,insert,AATree,Arranjos Desordenados,1000000,4.472870124700074e-05,0.0034358173315859556,531.644462,84.51470488303143
65,aline,search,AATree,Arranjos Ordenados (ASC),1000000,7.292960702994485e-06,0.0013299551729014755,56.795345,5.32931418970253
66,aline,search,AATree,Arranjos Quase Ordenados,1000000,7.630922556001792e-06,0.0014624988965104325,56.795327,5.329276345270281
67,aline,remove,AATree,Arranjos Ordenados (DESC),1000000,7.5077193869966265e-06,0.0009744618571401739,119.61216,24.039915766323933
68,aline,search,AATree,Arranjos Desordenados,1000000,1.0528711787002138e-05,0.0016808043509829956,57.884138,6.140832492975176
69,aline,remove,AATree,Arranjos Ordenados (ASC),1000000,5.9986500330053754e-06,0.0010749520332170757,89.993774,21.06549522304218
70,aline,remove,AATree,Arranjos Quase Ordenados,1000000,8.032366425999954e-06,0.001340679289883856,94.327026,19.963420762321586
71,aline,remove,AATree,Arranjos Desordenados,1000000,4.794587751003135e-06,0.00022119748662700073,93.614242,18.35217669835994
0,aline,insert,ReadBlackTree,Arranjos Ordenados (ASC),10,1.2413300000013727e-05,1.7139144747547908e-05,20.3,8.994442728707543
1,aline,insert,ReadBlackTree,Arranjos Ordenados (ASC),100,9.260319999994104e-06,2.0217275873748524e-05,42.48,10.075953973934602
2,aline,insert,ReadBlackTree,Arranjos Desordenados,100,5.711149999995113e-06,6.878992113123552e-06,29.32,10.34347498413733
3,aline,insert,ReadBlackTree,Arranjos Desordenados,10,1.5640500000024815e-05,1.2583846340511779e-05,13.8,7.539525478731698
4,aline,insert,ReadBlackTree,Arranjos Ordenados (DESC),10,4.6429599999986414e-05,7.029967515522597e-05,20.3,8.994442728707543
5,aline,insert,ReadBlackTree,Arranjos Quase Ordenados,10,1.975130000004821e-05,2.2150690062267273e-05,20.4,10.553567064162609
6,aline,insert,ReadBlackTree,Arranjos Ordenados (ASC),1000,3.5054871999998684e-05,0.0008458151406921972,63.159,10.271086321038014
7,aline,insert,ReadBlackTree,Arranjos Quase Ordenados,100,8.376160000005406e-06,6.111508657866161e-06,43.2,11.40706851567098
8,aline,insert,ReadBlackTree,Arranjos Ordenados (ASC),10000,6.43820070999997e-05,0.001783042127985492,83.3757,10.436955615228582
9,aline,insert,ReadBlackTree,Arranjos Ordenados (DESC),10000,0.00012795649029999844,0.0043411669235008665,83.3757,10.436955615228582
10,aline,insert,ReadBlackTree,Arranjos Desordenados,1000,2.7967482000003985e-05,0.0006561298702417778,38.768,10.011013754680212
11,aline,insert,ReadBlackTree,Arranjos Quase Ordenados,1000,2.150664200000696e-05,0.0002359756534568598,64.122,11.474701947535927
12,aline,search,ReadBlackTree,Arranjos Ordenados (DESC),10,6.128899999868764e-06,9.83411886638271e-06,9.0,3.4641016151377544
13,aline,insert,ReadBlackTree,Arranjos Ordenados (DESC),1000,0.0003220923719999833,0.009811683920767773,63.159,10.271086321038014
14,aline,search,ReadBlackTree,Arranjos Desordenados,100,5.716240000026574e-06,2.144851995721761e-06,17.82,4.386342439892261
15,aline,insert,ReadBlackTree,Arranjos Desordenados,10000,9.401123719999824e-05,0.0031687729992108163,48.9446,10.08143315057125
16,aline,search,ReadBlackTree,Arranjos Quase Ordenados,10,8.540599999928843e-06,1.637374259276086e-05,8.7,2.9832867780352594
